INFO Fit-3@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-3@16:13:30 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-3@16:13:30 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-3@16:13:30 : Model set to ready.
INFO Fit-3-Epo-1@16:13:42 : Epochs:1, Batches:1, in:16, Total:1, Loss:0.6893
INFO Fit-3-Epo-1@16:13:52 : Epochs:1, Batches:2, in:16, Total:2, Loss:0.4855
INFO Fit-3-Epo-1@16:14:03 : Epochs:1, Batches:3, in:16, Total:3, Loss:0.3082
INFO Fit-3-Epo-1@16:14:14 : Epochs:1, Batches:4, in:16, Total:4, Loss:0.1710
INFO Fit-3-Epo-1@16:14:24 : Epochs:1, Batches:5, in:16, Total:5, Loss:0.5910
INFO Fit-3-Epo-1@16:14:32 : Epochs:1, Batches:6, in:16, Total:6, Loss:0.1078
INFO Fit-3-Epo-1@16:14:40 : Epochs:1, Batches:7, in:16, Total:7, Loss:0.1689
INFO Fit-3-Epo-1@16:14:46 : Epochs:1, Batches:8, in:16, Total:8, Loss:0.4363
INFO Fit-3-Epo-1@16:14:52 : Epochs:1, Batches:9, in:16, Total:9, Loss:0.3845
INFO Fit-3-Epo-1@16:14:57 : Epochs:1, Batches:10, in:16, Total:10, Loss:1.5357
INFO Fit-3-Epo-1@16:15:02 : Epochs:1, Batches:11, in:16, Total:11, Loss:0.7962
INFO Fit-3-Epo-1@16:15:07 : Epochs:1, Batches:12, in:16, Total:12, Loss:0.1875
INFO Fit-3-Epo-1@16:15:11 : Epochs:1, Batches:13, in:16, Total:13, Loss:0.4099
INFO Fit-3-Epo-1@16:15:17 : Epochs:1, Batches:14, in:16, Total:14, Loss:0.9887
INFO Fit-3-Epo-1@16:15:29 : Epochs:1, Batches:15, in:16, Total:15, Loss:0.1284
INFO Fit-3-Epo-1@16:15:39 : Epochs:1, Batches:16, in:16, Total:16, Loss:1.1048
INFO Fit-3-Epo-1@16:15:51 : Epochs:2, Batches:1, in:16, Total:17, Loss:0.4867
INFO Fit-3-Epo-1@16:16:00 : Epochs:2, Batches:2, in:16, Total:18, Loss:0.2670
INFO Fit-3-Epo-1@16:16:13 : Epochs:2, Batches:3, in:16, Total:19, Loss:0.2004
INFO Fit-3-Epo-1@16:16:25 : Epochs:2, Batches:4, in:16, Total:20, Loss:0.1330
INFO Fit-3-Epo-1@16:16:39 : Epochs:2, Batches:5, in:16, Total:21, Loss:0.4154
INFO Fit-3-Epo-1@16:16:52 : Epochs:2, Batches:6, in:16, Total:22, Loss:0.0987
INFO Fit-3-Epo-1@16:17:01 : Epochs:2, Batches:7, in:16, Total:23, Loss:0.1511
INFO Fit-3-Epo-1@16:17:12 : Epochs:2, Batches:8, in:16, Total:24, Loss:0.3266
INFO Fit-3-Epo-1@16:17:23 : Epochs:2, Batches:9, in:16, Total:25, Loss:0.2375
INFO Fit-3-Epo-1@16:17:32 : Epochs:2, Batches:10, in:16, Total:26, Loss:1.3386
INFO Fit-3-Epo-1@16:17:44 : Epochs:2, Batches:11, in:16, Total:27, Loss:0.5570
